X,Y,fid,full_id,osm_id,osm_type,place,name,Rang,icon_url
4.3997081,51.2211097,1,n1765433658,"1765433658",node,city,Antwerpen,1,./0.png
4.0392147,50.9383226,2,n1668613880,"1668613880",node,town,Aalst,1,./0.png
4.7011675,50.879202,3,n1448497912,"1448497912",node,city,Leuven,1,./0.png
4.351697,50.8465573,4,n1635651356,"1635651356",node,city,Bruxelles - Brussel,1,./0.png
5.303116,51.6889387,5,n60400458,"60400458",node,city,'s-Hertogenbosch,1,./0.png
4.9371775,50.8074825,6,n1650714389,"1650714389",node,town,Tienen,2,./0.png
5.1030991,50.8331973,7,n1671153486,"1671153486",node,town,Zoutleeuw,2,./0.png
4.3235854,50.5976885,8,n60285677,"60285677",node,town,Nivelles,2,./0.png
4.836429,50.9842743,9,n64601280,"64601280",node,town,Aarschot,3,./0.png
4.2871541,51.4944756,10,n760705238,"760705238",node,town,Bergen op Zoom,3,./0.png
5.8637771,51.8474946,11,n867975219,"867975219",node,city,Nijmegen,3,./0.png
4.7760237,51.5887845,12,n867998189,"867998189",node,city,Breda,3,./0.png
5.0504341,50.9844318,13,n64670063,"64670063",node,town,Diest,3,./0.png
4.3151027,51.5859752,14,n3122973293,"3122973293",node,town,Steenbergen,4,./0.png
5.6909768,50.8512438,15,n41977208,"41977208",node,city,Maastricht,3,./0.png
4.5696516,51.131069,16,n30997655,"30997655",node,town,Lier,4,./0.png
4.2471322,51.9751843,17,n849259802,"849259802",node,town,De Lier,4,./0.png
4.423126,50.928711,18,n1677252814,"1677252814",node,town,Vilvoorde,4,./0.png
4.6943126,50.5597273,19,n60302311,"60302311",node,town,Gembloux,4,./0.png
4.8679997,50.724179,20,n64845591,"64845591",node,town,Jodoigne,4,./0.png
5.0779916,50.6724649,21,n64817311,"64817311",node,town,Hannut,4,./0.png
5.0813154,50.7530146,22,n77802451,"77802451",node,town,Landen,4,./0.png
5.1142517,50.9479352,23,n64813638,"64813638",node,town,Halen,4,./0.png
4.9740173,50.9801033,24,n1644606210,"1644606210",node,town,Scherpenheuvel-Zichem,4,./0.png
4.8362595,51.1765426,25,n64827284,"64827284",node,town,Herentals,4,./0.png
5.478633,51.4392648,26,n42616340,"42616340",node,city,Eindhoven,4,./0.png
5.6557686,51.4790956,27,n299144900,"299144900",node,city,Helmond,4,./0.png
5.7411125,51.7596504,28,n3123199556,"3123199556",node,town,Grave,4,./0.png
5.310242,51.5035638,29,n3123164384,"3123164384",node,town,Oirschot,5,./0.png
4.948461,51.3233812,30,n31492741,"31492741",node,town,Turnhout,5,./0.png
4.7616865,51.4012894,31,n64832109,"64832109",node,town,Hoogstraten,5,./0.png
4.5061988,51.0957176,32,n85635996,"85635996",node,town,Duffel,5,./0.png
4.2335677,50.9593636,33,n388500555,"388500555",node,town,Merchtem,5,./0.png
4.2015646,50.9094333,34,n268514020,"268514020",node,town,Asse,5,./0.png
4.5138824,50.8241883,35,n254400196,"254400196",node,town,Tervuren,5,./0.png
